iter	Passed	Remaining
604	3321	2168
605	3327	2163
606	3332	2157
607	3338	2152
608	3344	2147
609	3349	2141
610	3354	2135
611	3359	2130
612	3365	2124
613	3370	2119
614	3375	2113
615	3380	2107
616	3386	2101
617	3391	2096
618	3396	2090
619	3401	2084
620	3407	2079
621	3412	2073
622	3417	2068
623	3422	2062
624	3427	2056
625	3433	2051
626	3438	2045
627	3443	2040
628	3449	2034
629	3454	2028
630	3459	2023
631	3464	2017
632	3469	2011
633	3475	2006
634	3480	2000
635	3485	1994
636	3490	1989
637	3496	1983
638	3501	1978
639	3507	1972
640	3512	1967
641	3518	1961
642	3523	1956
643	3529	1950
644	3534	1945
645	3539	1939
646	3545	1934
647	3550	1928
648	3555	1923
649	3561	1917
650	3566	1912
651	3572	1906
652	3577	1901
653	3582	1895
654	3588	1890
655	3593	1884
656	3599	1878
657	3604	1873
658	3609	1867
659	3614	1862
660	3620	1856
661	3625	1851
662	3630	1845
663	3636	1840
664	3641	1834
665	3646	1828
666	3652	1823
667	3657	1817
668	3662	1812
669	3668	1806
670	3673	1801
671	3678	1795
672	3683	1789
673	3689	1784
674	3694	1778
675	3699	1773
676	3705	1767
677	3710	1762
678	3716	1756
679	3722	1751
680	3727	1746
681	3732	1740
682	3738	1735
683	3743	1729
684	3749	1724
685	3754	1718
686	3760	1713
687	3765	1707
688	3770	1701
689	3775	1696
690	3781	1690
691	3786	1685
692	3791	1679
693	3797	1674
694	3802	1668
695	3807	1663
696	3812	1657
697	3818	1651
698	3823	1646
699	3828	1640
700	3833	1635
701	3839	1629
702	3844	1624
703	3849	1618
704	3854	1612
705	3859	1607
706	3865	1601
707	3870	1596
708	3875	1590
709	3881	1585
710	3886	1579
711	3891	1574
712	3896	1568
713	3901	1562
714	3906	1557
715	3911	1551
716	3917	1546
717	3922	1540
718	3928	1535
719	3933	1529
720	3939	1524
721	3944	1518
722	3949	1513
723	3955	1507
724	3960	1502
725	3965	1496
726	3970	1491
727	3976	1485
728	3981	1480
729	3986	1474
730	3992	1469
731	3997	1463
732	4002	1458
733	4008	1452
734	4013	1447
735	4018	1441
736	4023	1435
737	4037	1433
738	4042	1427
739	4047	1422
740	4054	1417
741	4062	1412
742	4071	1408
743	4079	1403
744	4084	1398
745	4090	1392
746	4095	1387
747	4101	1381
748	4106	1376
749	4111	1370
750	4118	1365
751	4123	1360
752	4129	1354
753	4134	1348
754	4140	1343
755	4145	1337
756	4150	1332
757	4155	1326
758	4161	1321
759	4166	1315
760	4171	1310
761	4177	1304
762	4182	1299
763	4187	1293
764	4193	1288
765	4199	1282
766	4204	1277
767	4209	1271
768	4215	1266
769	4220	1260
770	4225	1255
771	4231	1249
772	4236	1244
773	4241	1238
774	4247	1233
775	4252	1227
776	4257	1221
777	4263	1216
778	4268	1210
779	4274	1205
780	4279	1199
781	4284	1194
782	4289	1188
783	4295	1183
784	4300	1177
785	4305	1172
786	4311	1166
787	4316	1161
788	4322	1155
789	4327	1150
790	4333	1145
791	4338	1139
792	4344	1133
793	4349	1128
794	4354	1122
795	4359	1117
796	4365	1111
797	4370	1106
798	4375	1100
799	4381	1095
800	4386	1089
801	4392	1084
802	4397	1078
803	4402	1073
804	4408	1067
805	4413	1062
806	4419	1056
807	4424	1051
808	4430	1046
809	4435	1040
810	4441	1034
811	4446	1029
812	4451	1024
813	4457	1018
814	4462	1013
815	4468	1007
816	4473	1002
817	4478	996
818	4484	991
819	4490	985
820	4495	980
821	4500	974
822	4505	969
823	4511	963
824	4517	958
825	4522	952
826	4528	947
827	4533	941
828	4538	936
829	4543	930
830	4548	925
831	4554	919
832	4559	914
833	4564	908
834	4570	903
835	4575	897
836	4580	892
837	4586	886
838	4591	881
839	4596	875
840	4602	870
841	4607	864
842	4612	859
843	4617	853
844	4622	847
845	4627	842
846	4633	836
847	4638	831
848	4643	825
849	4649	820
850	4654	815
851	4659	809
852	4665	803
853	4670	798
854	4675	792
855	4680	787
856	4685	781
857	4690	776
858	4695	770
859	4701	765
860	4706	759
861	4711	754
862	4716	748
863	4722	743
864	4727	737
865	4732	732
866	4737	726
867	4742	721
868	4748	715
869	4753	710
870	4759	704
871	4764	699
872	4769	693
873	4774	688
874	4780	682
875	4785	677
876	4790	671
877	4795	666
878	4800	660
879	4805	655
880	4811	649
881	4816	644
882	4821	638
883	4826	633
884	4832	627
885	4837	622
886	4842	616
887	4848	611
888	4853	606
889	4858	600
890	4863	595
891	4869	589
892	4874	584
893	4880	578
894	4885	573
895	4890	567
896	4895	562
897	4901	556
898	4906	551
899	4911	545
900	4916	540
901	4921	534
902	4926	529
903	4932	523
904	4937	518
905	4942	512
906	4948	507
907	4953	501
908	4958	496
909	4964	490
910	4969	485
911	4974	480
912	4980	474
913	4985	469
914	4990	463
915	4996	458
916	5001	452
917	5006	447
918	5012	441
919	5017	436
920	5022	430
921	5027	425
922	5033	419
923	5038	414
924	5044	408
925	5049	403
926	5054	398
927	5060	392
928	5065	387
929	5071	381
930	5077	376
931	5082	370
932	5088	365
933	5093	359
934	5098	354
935	5105	349
936	5110	343
937	5116	338
938	5121	332
939	5126	327
940	5132	321
941	5137	316
942	5142	310
943	5148	305
944	5153	299
945	5159	294
946	5164	289
947	5169	283
948	5175	278
949	5180	272
950	5185	267
951	5191	261
952	5196	256
953	5202	250
954	5207	245
955	5212	239
956	5218	234
957	5224	229
958	5229	223
959	5235	218
960	5240	212
961	5246	207
962	5251	201
963	5257	196
964	5262	190
965	5268	185
966	5273	179
967	5278	174
968	5283	169
969	5289	163
970	5294	158
971	5299	152
972	5305	147
973	5310	141
974	5316	136
975	5321	130
976	5326	125
977	5332	119
978	5337	114
979	5343	109
980	5348	103
981	5354	98
982	5359	92
983	5364	87
984	5370	81
985	5375	76
986	5380	70
987	5386	65
988	5391	59
989	5396	54
990	5401	49
991	5407	43
992	5412	38
993	5417	32
994	5422	27
995	5428	21
996	5433	16
997	5438	10
998	5443	5
999	5449	0
