iter	Passed	Remaining
902	3091	332
903	3094	328
904	3097	325
905	3101	321
906	3104	318
907	3107	314
908	3110	311
909	3114	307
910	3117	304
911	3120	301
912	3123	297
913	3126	294
914	3130	290
915	3134	287
916	3137	283
917	3140	280
918	3144	277
919	3147	273
920	3150	270
921	3153	266
922	3157	263
923	3160	259
924	3163	256
925	3167	253
926	3170	249
927	3173	246
928	3176	242
929	3180	239
930	3184	236
931	3188	232
932	3191	229
933	3194	225
934	3197	222
935	3200	218
936	3204	215
937	3207	212
938	3211	208
939	3214	205
940	3217	201
941	3220	198
942	3223	194
943	3227	191
944	3230	188
945	3234	184
946	3237	181
947	3240	177
948	3243	174
949	3246	170
950	3250	167
951	3253	164
952	3256	160
953	3259	157
954	3263	153
955	3267	150
956	3271	146
957	3274	143
958	3277	140
959	3281	136
960	3284	133
961	3287	129
962	3291	126
963	3295	123
964	3298	119
965	3302	116
966	3305	112
967	3309	109
968	3312	105
969	3315	102
970	3319	99
971	3322	95
972	3325	92
973	3328	88
974	3332	85
975	3335	82
976	3338	78
977	3341	75
978	3345	71
979	3348	68
980	3351	64
981	3354	61
982	3358	58
983	3361	54
984	3365	51
985	3368	47
986	3372	44
987	3375	41
988	3379	37
989	3382	34
990	3385	30
991	3388	27
992	3391	23
993	3395	20
994	3398	17
995	3401	13
996	3405	10
997	3408	6
998	3413	3
999	3416	0
